@relation adult-modded

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
59,Private,176011,10,Separated,Adm-clerical,Unmarried,White,Male,0,0,40,<=50K
44,Self-emp-not-inc,38122,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,<=50K
26,Private,291586,13,Never-married,Transport-moving,Own-child,White,Male,0,0,20,<=50K
41,Self-emp-inc,114580,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,>50K
28,Private,331381,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
44,Private,103759,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,>50K
43,Private,170730,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,>50K
27,Private,265314,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,>50K
54,Private,343242,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,>50K
20,Private,223811,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,<=50K
32,Private,426431,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,<=50K
58,Self-emp-not-inc,93664,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,>50K
24,Private,308239,13,Never-married,Sales,Own-child,White,Male,0,0,4,<=50K
39,Private,237943,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,70,>50K
49,Private,94638,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
31,Private,309974,10,Separated,Tech-support,Unmarried,Black,Female,0,0,40,<=50K
39,Private,141584,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,>50K
47,State-gov,72333,9,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,<=50K
46,Private,224582,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,52,<=50K
41,Private,242089,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,<=50K
29,Private,152461,13,Never-married,Prof-specialty,Unmarried,White,Female,14344,0,50,>50K
37,Private,102953,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
51,Private,239284,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,<=50K
38,Private,260997,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,<=50K
50,Private,228057,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
40,Self-emp-not-inc,220821,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,<=50K
35,Self-emp-inc,185621,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,>50K
33,Private,287908,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,>50K
39,Private,315291,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,<=50K
19,?,214087,9,Never-married,?,Own-child,White,Male,0,0,40,<=50K
30,Private,169104,12,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,40,<=50K
31,Private,193285,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,<=50K
26,Private,383306,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
73,Private,88594,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,35,<=50K
52,Private,294991,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
20,State-gov,178628,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,<=50K
50,Private,99316,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,<=50K
26,Private,128777,10,Never-married,Sales,Other-relative,Black,Female,0,0,40,<=50K
45,State-gov,28171,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
47,Private,67229,7,Divorced,Transport-moving,Not-in-family,Black,Female,0,0,40,<=50K
45,State-gov,263982,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,<=50K
23,Private,275818,10,Never-married,Sales,Not-in-family,White,Female,0,1974,40,<=50K
35,Private,341643,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
58,Private,284834,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
39,Private,99783,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,<=50K
53,Federal-gov,117847,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
47,Private,212944,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,>50K
27,Self-emp-not-inc,87745,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,<=50K
32,Private,172714,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
36,Private,111377,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
33,Private,355996,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,<=50K
20,Private,190290,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,<=50K
32,State-gov,206051,10,Married-spouse-absent,Farming-fishing,Own-child,White,Male,0,0,50,<=50K
44,Self-emp-not-inc,567788,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
52,Private,110954,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,>50K
30,Private,85374,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,<=50K
62,Private,167098,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
29,Private,173652,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,<=50K
28,State-gov,89564,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,<=50K
28,Private,207513,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,42,>50K
36,Private,353263,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
43,Private,188199,5,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,<=50K
60,Private,141253,6,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,48,<=50K
53,Private,137428,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,>50K
25,Private,29106,10,Never-married,Other-service,Own-child,White,Female,0,0,50,<=50K
29,Private,94880,10,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,40,<=50K
23,Private,163090,12,Never-married,Sales,Own-child,White,Male,0,0,20,<=50K
19,Private,277708,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,<=50K
32,Private,169841,10,Divorced,Sales,Not-in-family,White,Female,0,0,55,<=50K
45,Self-emp-not-inc,40666,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,<=50K
28,Self-emp-inc,115705,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,<=50K
28,Private,32291,13,Never-married,Prof-specialty,Not-in-family,White,Female,2174,0,40,<=50K
36,Private,210945,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
38,Private,37028,10,Divorced,Sales,Unmarried,White,Female,0,0,38,<=50K
44,Private,157217,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
48,Self-emp-inc,193188,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
28,Private,314649,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,60,<=50K
39,Private,184117,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,20,>50K
53,Self-emp-not-inc,263439,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,>50K
46,Private,195416,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,44,>50K
30,Private,408328,1,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,<=50K
66,Private,236784,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,8,<=50K
22,?,177902,10,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,0,0,25,<=50K
44,Private,151089,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,60,>50K
20,?,337488,10,Never-married,?,Own-child,Black,Male,0,0,30,<=50K
60,State-gov,190682,11,Widowed,Other-service,Not-in-family,Black,Female,0,0,37,<=50K
27,Federal-gov,214385,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,<=50K
28,Federal-gov,236418,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,<=50K
33,Self-emp-not-inc,361497,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
19,Private,391403,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,<=50K
38,Private,146398,9,Never-married,Other-service,Unmarried,Black,Female,0,0,24,<=50K
20,Private,138768,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,<=50K
37,Federal-gov,470663,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
17,Private,191910,6,Never-married,Other-service,Own-child,White,Male,0,0,25,<=50K
22,Private,163870,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,<=50K
72,State-gov,120733,4,Widowed,Other-service,Unmarried,Black,Female,0,0,40,<=50K
60,?,139391,9,Married-civ-spouse,?,Husband,White,Male,0,0,42,<=50K
80,Self-emp-not-inc,248568,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,<=50K
30,Private,157778,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,>50K
19,Private,144911,10,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
53,Self-emp-inc,110445,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,<=50K
22,Local-gov,111697,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,<=50K
58,Local-gov,368797,14,Widowed,Prof-specialty,Unmarried,White,Male,0,0,35,>50K
51,?,243631,9,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,2105,0,20,<=50K
43,?,218558,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,<=50K
45,Private,162302,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,30,<=50K
47,Private,257824,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
35,Local-gov,268292,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
34,Private,203488,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,>50K
37,Private,37238,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,<=50K
25,Private,122999,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,<=50K
36,Private,198587,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
20,Private,494784,9,Never-married,Sales,Other-relative,Black,Female,0,0,35,<=50K
45,Private,240554,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
52,Private,46788,13,Divorced,Craft-repair,Unmarried,White,Male,0,0,25,<=50K
18,Private,25837,7,Never-married,Prof-specialty,Own-child,White,Male,0,0,15,<=50K
25,Private,266668,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,<=50K
25,?,156848,10,Never-married,?,Own-child,White,Male,0,0,40,<=50K
29,Local-gov,175262,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,35,<=50K
30,Private,366876,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
48,Private,188610,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,>50K
35,?,320084,13,Married-civ-spouse,?,Wife,White,Female,0,0,55,>50K
43,Private,397963,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,594,0,16,<=50K
26,Private,340335,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
44,Private,262233,10,Divorced,Exec-managerial,Unmarried,White,Male,0,0,47,<=50K
30,Private,246439,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,<=50K
48,Private,149210,13,Divorced,Sales,Not-in-family,Black,Male,0,0,40,>50K
50,Private,193746,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,<=50K
33,Private,174789,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
32,Local-gov,186784,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,5013,0,45,<=50K
50,Local-gov,133963,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,>50K
62,Private,101582,4,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,35,<=50K
45,Private,149224,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,50,<=50K
43,Private,358677,11,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,<=50K
17,Private,171080,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,<=50K
26,State-gov,141838,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,>50K
58,Private,142076,9,Divorced,Tech-support,Not-in-family,White,Male,4787,0,39,>50K
39,Private,160916,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,45,<=50K
44,Private,275094,2,Never-married,Other-service,Own-child,White,Male,0,0,10,<=50K
20,Private,37783,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,<=50K
67,Self-emp-inc,168370,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
34,Private,260560,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,<=50K
20,Private,231231,10,Never-married,Sales,Not-in-family,White,Male,0,0,30,<=50K
47,Private,238185,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
23,Private,203924,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,<=50K
34,Private,356882,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,<=50K
69,Private,130060,9,Separated,Transport-moving,Unmarried,Black,Female,2387,0,40,<=50K
40,Private,77247,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
41,Private,150011,13,Never-married,Other-service,Own-child,White,Female,0,0,40,<=50K
67,Self-emp-not-inc,139960,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
24,State-gov,61737,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
39,Private,112264,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
20,Private,313817,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
32,Private,100662,5,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,<=50K
30,Local-gov,172822,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,<=50K
34,Self-emp-not-inc,173201,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,<=50K
44,Local-gov,145246,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,>50K
47,Private,83407,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,84,>50K
50,Private,136836,9,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,<=50K
34,Private,242984,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,48,<=50K
46,Private,158656,12,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36,<=50K
37,Private,319831,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,>50K
39,Private,147548,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
19,?,43739,9,Never-married,?,Own-child,White,Male,0,0,40,<=50K
33,Private,156192,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,>50K
38,Self-emp-not-inc,179824,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,<=50K
26,Private,150361,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,<=50K
36,Private,43712,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
22,Private,214716,9,Never-married,Other-service,Own-child,White,Female,0,0,40,<=50K
43,State-gov,129298,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
73,Private,33493,9,Widowed,Sales,Not-in-family,White,Female,0,0,3,<=50K
42,Private,68729,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,<=50K
40,Private,226388,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,<=50K
31,Private,302679,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,60,<=50K
76,Private,199949,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,20051,0,50,>50K
25,Private,229287,13,Never-married,Exec-managerial,Other-relative,White,Female,0,0,25,<=50K
32,Private,243243,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,77,<=50K
30,Local-gov,44566,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,<=50K
30,?,96851,10,Never-married,?,Not-in-family,White,Female,0,1719,25,<=50K
35,Private,190297,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
20,Private,124751,10,Never-married,Priv-house-serv,Own-child,White,Female,0,0,20,<=50K
27,Private,95465,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,<=50K
25,Private,108542,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,35,<=50K
38,Private,103323,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
27,Private,271714,10,Never-married,Other-service,Own-child,White,Female,0,0,30,<=50K
40,Local-gov,27444,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,>50K
50,Local-gov,282701,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,48,>50K
24,Private,122166,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,<=50K
37,?,87369,5,Divorced,?,Unmarried,White,Female,0,0,40,<=50K
47,Local-gov,153536,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,>50K
33,Private,145437,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,<=50K
31,Private,209538,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,<=50K
58,?,114362,10,Married-civ-spouse,?,Husband,Black,Male,0,0,30,<=50K
36,Private,359397,7,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,0,40,<=50K
60,Private,24872,10,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,0,30,<=50K
37,Private,238959,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
67,Self-emp-not-inc,36876,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
35,Private,164519,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,<=50K
44,Private,198282,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,>50K
27,Private,68848,13,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,<=50K
37,Private,160120,14,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,40,<=50K
45,Private,118714,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
42,Private,252392,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
39,Federal-gov,219137,12,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
41,Private,88368,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,<=50K
35,Private,129573,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,>50K
47,Private,436770,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,<=50K
23,Local-gov,254127,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,50,<=50K
42,Self-emp-inc,557349,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,<=50K
35,Self-emp-not-inc,42044,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
30,Private,83253,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,<=50K
21,?,205940,10,Never-married,?,Own-child,White,Female,0,0,40,<=50K
41,Federal-gov,106982,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,>50K
46,Private,29437,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,<=50K
46,Self-emp-inc,182655,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,>50K
37,Private,339772,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,<=50K
22,Private,259109,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,18,<=50K
36,Local-gov,255454,13,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,<=50K
24,State-gov,166851,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,13,<=50K
36,Private,114765,6,Never-married,Other-service,Unmarried,White,Female,0,0,35,<=50K
57,Private,114495,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,<=50K
24,Private,240063,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,<=50K
27,Private,330132,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,>50K
49,Private,44434,10,Divorced,Tech-support,Other-relative,White,Male,0,0,35,<=50K
27,?,280699,10,Never-married,?,Unmarried,White,Female,0,0,40,<=50K
28,State-gov,73928,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,>50K
63,?,205110,6,Widowed,?,Not-in-family,Black,Male,0,0,40,<=50K
32,Private,154120,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
24,Private,183751,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,<=50K
36,Private,163237,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,>50K
42,Private,424855,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3908,0,40,<=50K
60,Private,290754,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,<=50K
35,Private,134922,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,50,<=50K
46,State-gov,20534,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,<=50K
39,Private,215419,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,<=50K
38,Federal-gov,205852,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,>50K
28,Private,124680,9,Never-married,Sales,Unmarried,White,Female,0,0,70,<=50K
28,Private,190539,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,<=50K
31,Private,200117,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
30,Private,149507,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,<=50K
56,Private,158776,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,<=50K
29,Private,163167,9,Divorced,Sales,Own-child,White,Male,0,0,40,<=50K
39,State-gov,65390,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
42,Private,169980,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,50,>50K
54,Private,284952,6,Separated,Sales,Unmarried,White,Female,0,0,43,<=50K
22,Private,189277,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,<=50K
21,Private,199419,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
19,Private,143404,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,<=50K
51,Private,125796,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,35,<=50K
60,Private,349898,9,Widowed,Other-service,Not-in-family,White,Female,0,0,44,<=50K
24,Private,124242,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,<=50K
33,Private,192663,9,Separated,Sales,Not-in-family,White,Female,0,0,35,<=50K
27,Local-gov,47284,9,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,<=50K
51,Private,35576,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,38,<=50K
26,Private,190873,6,Divorced,Other-service,Unmarried,White,Female,0,0,40,<=50K
50,Private,177927,9,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,<=50K
47,Private,221666,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,<=50K
52,Local-gov,155141,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,>50K
56,Private,357118,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,>50K
46,Private,346978,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,<=50K
47,Local-gov,134671,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
37,Private,172538,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,<=50K
42,Private,171841,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,<=50K
29,Private,147889,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,<=50K
39,State-gov,65390,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
31,Private,193650,7,Divorced,Other-service,Not-in-family,White,Female,0,0,40,<=50K
44,Self-emp-not-inc,274562,9,Never-married,Craft-repair,Not-in-family,White,Male,14344,0,40,>50K
