@relation adult-modded-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
35,Private,152734,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,<=50K
25,Private,213412,13,Never-married,Tech-support,Unmarried,White,Male,0,0,40,<=50K
26,Private,226288,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
32,Private,281384,9,Married-AF-spouse,Other-service,Other-relative,White,Female,0,0,10,<=50K
25,Private,122999,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,<=50K
30,Local-gov,339388,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,72,>50K
57,Private,201112,12,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,<=50K
60,?,120163,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,<=50K
41,Private,247082,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,<=50K
50,Private,204838,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,<=50K
48,Private,175221,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
28,Private,378460,13,Never-married,Adm-clerical,Not-in-family,White,Male,10520,0,60,>50K
20,Private,148709,10,Never-married,Prof-specialty,Unmarried,White,Female,0,0,25,<=50K
25,Private,214303,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,<=50K
42,Private,256179,10,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,48,>50K
37,Self-emp-not-inc,205359,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,15,<=50K
19,Private,243942,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
52,Private,110954,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,>50K
45,Self-emp-not-inc,220978,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,<=50K
38,Private,218729,9,Divorced,Other-service,Not-in-family,White,Female,0,0,25,<=50K
25,Private,207621,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,<=50K
48,Private,62605,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,<=50K
47,Private,193047,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,<=50K
35,Self-emp-not-inc,135020,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
27,Private,267989,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
35,?,320084,13,Married-civ-spouse,?,Wife,White,Female,0,0,55,>50K
31,Private,128591,5,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,<=50K
60,Private,132529,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
25,Self-emp-not-inc,121285,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,<=50K
50,Federal-gov,169078,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,40,>50K
40,Private,77247,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
44,State-gov,691903,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,60,>50K
56,Private,195668,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,>50K
64,Self-emp-not-inc,187793,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
36,Private,311255,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,<=50K
29,Private,152951,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
38,Self-emp-not-inc,179824,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,<=50K
37,State-gov,202139,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,<=50K
43,Private,142682,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,<=50K
25,Private,73289,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,<=50K
20,Private,247564,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,<=50K
21,Private,83033,10,Never-married,Adm-clerical,Own-child,White,Female,2176,0,20,<=50K
25,Private,203570,9,Separated,Other-service,Unmarried,Black,Male,0,0,40,<=50K
36,Private,37778,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,<=50K
53,Private,208402,10,Divorced,Adm-clerical,Unmarried,Other,Female,4865,0,45,<=50K
27,Private,22422,10,Never-married,Sales,Other-relative,White,Male,0,0,40,<=50K
28,Private,309620,10,Married-civ-spouse,Sales,Husband,Other,Male,0,0,60,<=50K
38,Self-emp-not-inc,233033,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K
41,Private,266530,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,45,<=50K
43,Private,188199,5,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,<=50K
29,Self-emp-not-inc,85572,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,5,<=50K
21,Private,204160,10,Never-married,Sales,Own-child,White,Female,0,0,13,<=50K
60,Federal-gov,63526,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,>50K
65,Self-emp-inc,338316,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
31,Private,200117,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
76,Self-emp-inc,99328,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,6514,0,40,>50K
35,Private,140915,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,1590,40,<=50K
23,Private,245361,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,<=50K
43,Private,142725,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,80,>50K
67,Private,335979,9,Widowed,Sales,Not-in-family,White,Female,991,0,18,<=50K
28,Private,30912,12,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
23,Private,187447,10,Separated,Other-service,Own-child,White,Male,0,0,40,<=50K
53,Self-emp-not-inc,263925,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,>50K
29,Private,105422,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
50,Private,155433,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,<=50K
47,Private,257824,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
29,Self-emp-not-inc,151476,11,Never-married,Adm-clerical,Not-in-family,White,Female,2174,0,40,<=50K
42,Private,142756,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,<=50K
51,Self-emp-not-inc,183173,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,>50K
43,Private,184018,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,<=50K
21,Private,276709,10,Never-married,Sales,Other-relative,White,Female,0,0,40,<=50K
23,Private,167868,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,24,<=50K
28,Private,150025,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
41,Private,138975,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,>50K
44,Private,297991,12,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,50,<=50K
30,Private,142675,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,<=50K
17,Private,160758,6,Never-married,Sales,Other-relative,White,Male,0,0,30,<=50K
31,Self-emp-not-inc,176862,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
45,Private,162494,9,Never-married,Sales,Own-child,White,Female,0,0,19,<=50K
47,Private,213304,3,Separated,Other-service,Unmarried,White,Female,0,0,40,<=50K
38,Private,187847,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
47,Local-gov,171095,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,>50K
51,Private,275507,10,Divorced,Sales,Unmarried,Black,Female,0,0,50,<=50K
71,Federal-gov,101676,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
51,Private,207449,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,<=50K
17,Private,153035,6,Never-married,Sales,Own-child,White,Female,0,0,20,<=50K
21,Private,57951,10,Never-married,Other-service,Own-child,White,Female,0,0,30,<=50K
21,Private,364685,7,Never-married,Tech-support,Own-child,White,Female,0,0,35,<=50K
58,Local-gov,98361,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,<=50K
65,Private,176279,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,<=50K
43,Private,112607,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,<=50K
53,Self-emp-inc,110445,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,<=50K
26,Private,186168,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,<=50K
27,Private,213421,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,<=50K
46,Private,229737,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,>50K
39,Self-emp-not-inc,29874,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,<=50K
44,Private,299197,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,<=50K
47,Local-gov,200808,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,<=50K
27,Private,292120,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,45,<=50K
24,Private,604537,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,<=50K
37,Self-emp-not-inc,205359,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,15,<=50K
67,Local-gov,233681,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,<=50K
44,Self-emp-inc,104892,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,>50K
37,Private,201141,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,<=50K
37,Local-gov,76845,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,<=50K
33,Private,125761,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,36,<=50K
36,Private,91037,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,>50K
39,Self-emp-not-inc,65738,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,>50K
27,Local-gov,34254,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,<=50K
29,Private,169683,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,<=50K
19,Private,69182,10,Never-married,Other-service,Own-child,White,Female,0,0,27,<=50K
44,Private,198282,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,>50K
40,Private,92717,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,<=50K
37,Private,117381,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,<=50K
25,Private,204338,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
43,Private,290660,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,<=50K
26,Local-gov,337867,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,<=50K
25,Private,161478,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,<=50K
32,State-gov,119033,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,>50K
27,Private,216858,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,52,<=50K
55,Private,145214,10,Divorced,Adm-clerical,Unmarried,White,Female,4650,0,20,<=50K
29,Private,34796,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,<=50K
56,Private,116878,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,>50K
26,Local-gov,216522,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,42,<=50K
19,Private,144750,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,18,<=50K
19,Self-emp-not-inc,206599,10,Never-married,Other-service,Own-child,White,Female,0,0,22,<=50K
40,Private,259307,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
33,Private,347623,14,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,<=50K
23,Private,267471,8,Never-married,Sales,Own-child,White,Female,0,0,25,<=50K
64,?,286732,4,Widowed,?,Not-in-family,White,Female,0,0,40,<=50K
18,Private,156056,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,<=50K
39,Private,75995,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,<=50K
24,Private,88126,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
46,State-gov,298786,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,<=50K
42,Private,53956,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
27,Private,160972,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,<=50K
21,Private,39943,10,Never-married,Sales,Own-child,White,Female,0,0,20,<=50K
21,Private,147280,9,Never-married,Other-service,Own-child,Other,Male,0,0,20,<=50K
48,Self-emp-inc,193188,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
23,Private,442274,8,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,<=50K
40,Private,187164,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,45,<=50K
60,Private,24872,10,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,0,30,<=50K
36,Private,120204,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,<=50K
24,Private,192201,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,20,<=50K
30,Private,159442,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,<=50K
40,Private,193882,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
33,Private,167309,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
30,Private,232356,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
39,Private,112158,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,<=50K
31,Private,369825,13,Never-married,Sales,Not-in-family,White,Male,4101,0,50,<=50K
49,Private,140782,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2415,3,>50K
59,Private,121912,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
54,Private,186224,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,>50K
38,Local-gov,30509,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,55,<=50K
44,Private,200194,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
31,Private,302679,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,60,<=50K
27,Private,43652,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
31,Private,329635,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,>50K
22,Private,54560,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,<=50K
26,Private,186950,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,>50K
17,Private,270587,7,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
43,Private,182521,15,Divorced,Prof-specialty,Unmarried,White,Female,15020,0,35,>50K
19,Private,175083,9,Never-married,Sales,Own-child,White,Female,0,0,8,<=50K
37,Private,253420,9,Separated,Other-service,Unmarried,Black,Female,0,0,25,<=50K
25,Private,469697,10,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,40,<=50K
90,Private,313749,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,<=50K
37,Private,95654,6,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,<=50K
30,Private,248384,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,<=50K
22,Private,289579,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,<=50K
50,Private,234657,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
49,Self-emp-not-inc,173411,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,<=50K
26,Private,335998,9,Never-married,Sales,Not-in-family,White,Female,0,0,38,<=50K
54,Private,186224,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,>50K
34,Private,185216,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
62,State-gov,198686,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
22,?,177902,10,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,0,0,25,<=50K
28,Private,115579,11,Never-married,Tech-support,Own-child,White,Female,0,0,38,<=50K
77,?,132728,14,Divorced,?,Not-in-family,White,Male,0,0,45,<=50K
42,Local-gov,246862,10,Divorced,Tech-support,Not-in-family,White,Female,3325,0,40,<=50K
24,Private,225515,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,<=50K
29,Private,141350,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,50,<=50K
39,Private,57691,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7298,0,40,>50K
27,Local-gov,206125,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,<=50K
30,Self-emp-not-inc,189759,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,<=50K
19,Private,231688,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,<=50K
23,?,281668,6,Never-married,?,Own-child,Black,Female,0,0,40,<=50K
39,Private,89040,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
57,Self-emp-not-inc,286836,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,8,<=50K
21,Private,126314,10,Never-married,Other-service,Own-child,White,Male,0,0,10,<=50K
38,Private,187847,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
36,Private,197202,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,<=50K
34,Self-emp-not-inc,201292,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,<=50K
39,Local-gov,177907,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40,>50K
46,Self-emp-inc,62546,16,Separated,Prof-specialty,Not-in-family,White,Male,0,0,35,<=50K
35,Private,186183,9,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,80,>50K
46,Private,205100,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,>50K
24,Private,179423,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,<=50K
23,Private,122272,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,<=50K
18,Private,148644,9,Never-married,Sales,Own-child,White,Female,0,0,28,<=50K
54,Local-gov,173050,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,>50K
38,Private,342448,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,>50K
43,Local-gov,180572,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,>50K
26,Private,59306,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,<=50K
38,Private,256864,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,>50K
